StandortID;KaboStatus;AktStandorttyp;PolitGemeinde;y_200;x_200
1631;NS;Acker,Gemüsebau,Spez.kulturen;HINWIL;1240400;2705000
6398;NS;Wald;WINTERTHUR;1263200;2697400
6399;NS;Wald;HENGGART;1269000;2694200
6400;NS;Wald;WINTERTHUR;1263800;2695200
6401;HS;Wald;SEUZACH;1264400;2697000
6402;NS;Wald;WINTERTHUR;1263200;2698600
6403;NS;Wald;WIESENDANGEN;1265200;2702400
6404;NS;Wald;RICKENBACH (ZH);1268600;2702200
6405;NS;Wald;RHEINAU;1277000;2690000
6406;NS;Wald;OSSINGEN;1274600;2694800
6407;NS;Wald;OSSINGEN;1275200;2694600
6408;NS;Wald;WINTERTHUR;1264200;2695600
6409;HS;Wald;WIESENDANGEN;1264200;2703200
6410;NS;Wald;ELLIKON AN DER THUR;1268400;2703400
6411;NS;Wald;ELLIKON AN DER THUR;1269000;2703200
6412;NS;Wald;BENKEN (ZH);1277600;2690400
6413;NS;Wald;MARTHALEN;1277400;2691200
6414;NS;Wald;KLEINANDELFINGEN;1276000;2692600
6415;NS;Wald;ANDELFINGEN;1271200;2695200
6416;NS;Wald;KLEINANDELFINGEN;1274400;2694200
6417;NS;Acker,Gemüsebau,Spez.kulturen;TRUELLIKON;1277400;2692600
6418;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1268400;2696000
6419;NS;Acker,Gemüsebau,Spez.kulturen;THALHEIM AN DER THUR;1271400;2697000
6420;NS;Acker,Gemüsebau,Spez.kulturen;OSSINGEN;1275000;2696000
6421;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1268400;2697200
6422;NS;Acker,Gemüsebau,Spez.kulturen;OSSINGEN;1274600;2697200
6423;NS;Acker,Gemüsebau,Spez.kulturen;SEUZACH;1266400;2696800
6424;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1269200;2696400
6425;NS;Acker,Gemüsebau,Spez.kulturen;HETTLINGEN;1267800;2695800
6426;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1268400;2696800
6427;NS;Acker,Gemüsebau,Spez.kulturen;BUCH AM IRCHEL;1267000;2689600
6428;NS;Acker,Gemüsebau,Spez.kulturen;BERG AM IRCHEL;1267800;2688200
6429;NS;Acker,Gemüsebau,Spez.kulturen;BERG AM IRCHEL;1268800;2687800
6430;NS;Acker,Gemüsebau,Spez.kulturen;ANDELFINGEN;1270800;2693800
6431;NS;Acker,Gemüsebau,Spez.kulturen;SEUZACH;1266400;2696600
6432;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1268600;2697400
6433;NS;Acker,Gemüsebau,Spez.kulturen;ANDELFINGEN;1270800;2695600
6434;NS;Acker,Gemüsebau,Spez.kulturen;SEUZACH;1266400;2698000
6435;HS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1270200;2696400
6436;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1269600;2695600
6437;NS;Acker,Gemüsebau,Spez.kulturen;THALHEIM AN DER THUR;1271400;2697200
6438;NS;Acker,Gemüsebau,Spez.kulturen;OSSINGEN;1274800;2696200
6439;NS;Acker,Gemüsebau,Spez.kulturen;ANDELFINGEN;1270600;2694200
6440;NS;Acker,Gemüsebau,Spez.kulturen;BERG AM IRCHEL;1267800;2687600
6441;NS;Acker,Gemüsebau,Spez.kulturen;KLEINANDELFINGEN;1272800;2694800
6442;NS;Acker,Gemüsebau,Spez.kulturen;HUMLIKON;1270600;2692000
6444;NS;Grünland;HUMLIKON;1269800;2692800
6445;NS;Grünland;BERG AM IRCHEL;1268600;2687200
6447;NS;Grünland;BUCH AM IRCHEL;1268600;2689600
6448;NS;Acker,Gemüsebau,Spez.kulturen;DAEGERLEN;1269400;2696400
6449;NS;Grünland;HUMLIKON;1270600;2692200
6450;HS;Grünland;DAEGERLEN;1269800;2697600
6451;NS;Acker,Gemüsebau,Spez.kulturen;KLEINANDELFINGEN;1275000;2693200
6452;HS;Grünland;KLEINANDELFINGEN;1273200;2694600
6453;NS;Wald;DAEGERLEN;1268200;2696200
6454;HS;Acker,Gemüsebau,Spez.kulturen;VOLKEN;1269400;2689600
6455;NS;Acker,Gemüsebau,Spez.kulturen;HETTLINGEN;1267800;2696600
6456;NS;Acker,Gemüsebau,Spez.kulturen;NEFTENBACH;1266600;2693400
6457;NS;Acker,Gemüsebau,Spez.kulturen;NEFTENBACH;1268000;2692600
6458;NS;Acker,Gemüsebau,Spez.kulturen;HENGGART;1268400;2693400
6459;NS;Acker,Gemüsebau,Spez.kulturen;KLEINANDELFINGEN;1274800;2693200
6566;NS;Acker,Gemüsebau,Spez.kulturen;BRUETTEN;1258200;2694000
6570;NS;Acker,Gemüsebau,Spez.kulturen;EGG;1240600;2694800
7089;NS;Wald;BUCHS;1257200;2676800
7090;NS;Wald;NIEDERHASLI;1256800;2679200
7091;NS;Wald;NIEDERHASLI;1256200;2679800
7092;NS;Wald;OPFIKON;1254800;2686000
7093;NS;Acker,Gemüsebau,Spez.kulturen;EGG;1239400;2695200
7094;NS;Grünland;GOSSAU (ZH);1240200;2701800
7095;NS;Grünland;GOSSAU (ZH);1241600;2699200
7096;HS;Grünland;GOSSAU (ZH);1239400;2700400
7097;NS;Grünland;GOSSAU (ZH);1238000;2701600
7098;NS;Grünland;GRUENINGEN;1236600;2701200
7099;NS;Grünland;GRUENINGEN;1238200;2699000
7100;NS;Acker,Gemüsebau,Spez.kulturen;GRUENINGEN;1237200;2698200
7101;HS;Acker,Gemüsebau,Spez.kulturen;HOCHFELDEN;1265800;2679800
7102;NS;Acker,Gemüsebau,Spez.kulturen;MOENCHALTORF;1239800;2696600
7103;NS;Grünland;SEEGRAEBEN;1244800;2700000
7104;HS;Acker,Gemüsebau,Spez.kulturen;WANGEN-BRUETTISELLEN;1252600;2690600
7105;NS;Acker,Gemüsebau,Spez.kulturen;LUFINGEN;1259400;2686600
7106;NS;Acker,Gemüsebau,Spez.kulturen;LINDAU;1253600;2692600
7107;HS;Acker,Gemüsebau,Spez.kulturen;RUEMLANG;1254800;2683200
7108;NS;Acker,Gemüsebau,Spez.kulturen;RUEMLANG;1257200;2682200
7109;NS;Acker,Gemüsebau,Spez.kulturen;STADEL;1264400;2679200
7110;HS;Acker,Gemüsebau,Spez.kulturen;USTER;1243600;2697200
7111;NS;Acker,Gemüsebau,Spez.kulturen;USTER;1247600;2695200
7112;NS;Acker,Gemüsebau,Spez.kulturen;USTER;1242800;2699200
7113;NS;Acker,Gemüsebau,Spez.kulturen;USTER;1248000;2694400
7114;NS;Acker,Gemüsebau,Spez.kulturen;USTER;1246200;2698000
7115;NS;Grünland;LINDAU;1256800;2694000
7116;NS;Grünland;GOSSAU (ZH);1240800;2698600
7117;NS;Grünland;GRUENINGEN;1237600;2698800
7118;NS;Acker,Gemüsebau,Spez.kulturen;BRUETTEN;1258800;2692200
7119;NS;Grünland;BUBIKON;1237800;2703800
7120;NS;Grünland;BUELACH;1267200;2683000
7121;NS;Grünland;EGG;1237400;2695600
7122;NS;Acker,Gemüsebau,Spez.kulturen;EGLISAU;1268800;2682000
7123;NS;Grünland;FREIENSTEIN-TEUFEN;1266600;2685800
7124;NS;Acker,Gemüsebau,Spez.kulturen;HOCHFELDEN;1263400;2681200
7125;NS;Acker,Gemüsebau,Spez.kulturen;HOCHFELDEN;1265200;2681000
7126;NS;Acker,Gemüsebau,Spez.kulturen;LINDAU;1253200;2693200
7127;NS;Acker,Gemüsebau,Spez.kulturen;MOENCHALTORF;1241800;2697800
7128;NS;Acker,Gemüsebau,Spez.kulturen;MOENCHALTORF;1241600;2697000
7129;NS;Acker,Gemüsebau,Spez.kulturen;OBERGLATT;1260200;2681000
7130;NS;Acker,Gemüsebau,Spez.kulturen;PFAEFFIKON;1246200;2700000
7131;NS;Acker,Gemüsebau,Spez.kulturen;RUEMLANG;1255200;2683400
7132;NS;Acker,Gemüsebau,Spez.kulturen;STADEL;1265200;2678000
7133;NS;Acker,Gemüsebau,Spez.kulturen;STADEL;1265600;2678600
7134;NS;Acker,Gemüsebau,Spez.kulturen;STADEL;1264600;2678800
7135;NS;Acker,Gemüsebau,Spez.kulturen;STADEL;1266600;2678200
7137;NS;Acker,Gemüsebau,Spez.kulturen;BUELACH;1268000;2682000
7138;NS;Acker,Gemüsebau,Spez.kulturen;EMBRACH;1261400;2687600
7139;NS;Acker,Gemüsebau,Spez.kulturen;GLATTFELDEN;1266800;2681200
7140;NS;Acker,Gemüsebau,Spez.kulturen;HOMBRECHTIKON;1235600;2699000
7141;NS;Grünland;LUFINGEN;1259000;2686800
7142;HS;Grünland;AFFOLTERN AM ALBIS;1237000;2675600
7143;HS;Acker,Gemüsebau,Spez.kulturen;MASCHWANDEN;1231600;2674400
7144;HS;Wald;ADLISWIL;1238600;2681400
7146;HS;Grünland;WALD (ZH);1239600;2710200
7147;HS;Acker,Gemüsebau,Spez.kulturen;FEHRALTORF;1248600;2700600
7148;HS;Grünland;LINDAU;1256400;2693800
7149;HS;Acker,Gemüsebau,Spez.kulturen;Stammheim;1276400;2700400
7150;HS;Wald;WINTERTHUR;1261600;2700400
7151;HS;Wald;RHEINAU;1276800;2689800
7152;HS;Wald;ELGG;1257200;2707600
7153;HS;Wald;BENKEN (ZH);1279800;2691600
7154;HS;Wald;HAUSEN AM ALBIS;1232800;2682400
7155;HS;Grünland;RHEINAU;1276400;2688200
7157;NS;Acker,Gemüsebau,Spez.kulturen;PFAEFFIKON;1244200;2703400
7159;NS;Acker,Gemüsebau,Spez.kulturen;WINKEL;1259600;2683400
7160;NS;Acker,Gemüsebau,Spez.kulturen;OBEREMBRACH;1260600;2688200
7161;NS;Acker,Gemüsebau,Spez.kulturen;BRUETTEN;1258400;2692600
7162;NS;Acker,Gemüsebau,Spez.kulturen;MOENCHALTORF;1239400;2697600
7163;NS;Acker,Gemüsebau,Spez.kulturen;WANGEN-BRUETTISELLEN;1251000;2691800
7164;NS;Acker,Gemüsebau,Spez.kulturen;GLATTFELDEN;1267800;2681200
7165;NS;Acker,Gemüsebau,Spez.kulturen;LUFINGEN;1260400;2687400
7166;NS;Acker,Gemüsebau,Spez.kulturen;NEERACH;1262000;2678000
7167;HS;Wald;EMBRACH;1263400;2688000
7168;NS;Wald;LUFINGEN;1259400;2687800
7169;HS;Wald;KLOTEN;1258000;2688000
7170;NS;Wald;KLOTEN;1255400;2687200
7171;NS;Wald;ELGG;1259400;2708000
7172;NS;Wald;ELGG;1260800;2706000
7173;HS;Wald;BAERETSWIL;1245000;2706200
7174;NS;Wald;BAERETSWIL;1245600;2706600
7175;HS;Acker,Gemüsebau,Spez.kulturen;ELGG;1262000;2708000
7176;NS;Acker,Gemüsebau,Spez.kulturen;ELGG;1259800;2708600
7177;HS;Acker,Gemüsebau,Spez.kulturen;TURBENTHAL;1254400;2708000
7178;NS;Acker,Gemüsebau,Spez.kulturen;WEISSLINGEN;1254000;2699800
7179;HS;Acker,Gemüsebau,Spez.kulturen;WEISSLINGEN;1252600;2699800
7180;HS;Grünland;RUSSIKON;1249600;2700400
7181;NS;Grünland;RUSSIKON;1249400;2700600
7182;NS;Acker,Gemüsebau,Spez.kulturen;HITTNAU;1247400;2703200
7183;HS;Grünland;HITTNAU;1247800;2705600
7184;NS;Grünland;HITTNAU;1245200;2705200
7185;NS;Grünland;HINWIL;1240800;2706400
7186;NS;Acker,Gemüsebau,Spez.kulturen;ELGG;1259200;2706800
7187;NS;Acker,Gemüsebau,Spez.kulturen;ELGG;1259000;2706400
7188;NS;Acker,Gemüsebau,Spez.kulturen;ZELL (ZH);1256800;2705800
7189;HS;Acker,Gemüsebau,Spez.kulturen;ZELL (ZH);1256600;2703400
7190;NS;Acker,Gemüsebau,Spez.kulturen;ZELL (ZH);1257600;2703200
7191;NS;Acker,Gemüsebau,Spez.kulturen;ZELL (ZH);1256400;2703000
7192;NS;Grünland;WEISSLINGEN;1255400;2700600
7193;NS;Acker,Gemüsebau,Spez.kulturen;WEISSLINGEN;1254600;2700800
7194;NS;Grünland;WEISSLINGEN;1253800;2701400
7195;NS;Acker,Gemüsebau,Spez.kulturen;RUSSIKON;1249400;2701400
7196;NS;Acker,Gemüsebau,Spez.kulturen;RUSSIKON;1249400;2703400
7197;NS;Grünland;PFAEFFIKON;1249800;2705200
7198;NS;Grünland;BAERETSWIL;1244800;2707200
7199;NS;Grünland;BAERETSWIL;1243200;2709200
7200;NS;Acker,Gemüsebau,Spez.kulturen;HINWIL;1241400;2708000
7201;NS;Grünland;HINWIL;1240400;2707800
7202;NS;Acker,Gemüsebau,Spez.kulturen;HINWIL;1242400;2706400
7203;NS;Grünland;HINWIL;1238800;2708000
7204;NS;Grünland;DUERNTEN;1238000;2707400
7205;HS;Grünland;WALD (ZH);1235400;2710800
7206;NS;Grünland;WALD (ZH);1238800;2712400
7207;NS;Grünland;WALD (ZH);1240400;2712400
7208;HS;Grünland;FISCHENTHAL;1242200;2712200
7209;NS;Wald;EGLISAU;1268400;2682400
7210;HS;Wald;BUELACH;1267800;2682600
7211;NS;Wald;VOLKETSWIL;1251000;2695000
7212;NS;Wald;HOCHFELDEN;1266400;2681000
7213;NS;Wald;HOCHFELDEN;1264600;2679600
7214;NS;Wald;BUELACH;1266400;2683200
7215;NS;Wald;BUELACH;1266000;2682400
7216;NS;Wald;BUELACH;1264800;2681800
7217;NS;Wald;BUELACH;1262400;2681800
7218;NS;Wald;BACHENBUELACH;1261400;2682200
7219;NS;Wald;WINTERTHUR;1260600;2694600
7220;NS;Wald;BRUETTEN;1258600;2694800
7221;NS;Wald;VOLKETSWIL;1250000;2695800
7222;NS;Wald;NUERENSDORF;1256600;2693000
7223;NS;Wald;LINDAU;1256000;2693400
7224;NS;Wald;Illnau-Effretikon;1252400;2697200
7225;NS;Wald;VOLKETSWIL;1251000;2692800
7226;NS;Wald;USTER;1248200;2694800
7227;NS;Wald;USTER;1248200;2695800
7228;NS;Wald;USTER;1245200;2694800
7229;NS;Wald;USTER;1246000;2698600
7230;NS;Wald;USTER;1244400;2699400
7231;NS;Wald;GRUENINGEN;1238200;2699200
7232;NS;Wald;ELGG;1258800;2708600
7233;NS;Wald;ELGG;1259800;2707200
7234;NS;Wald;ELGG;1258200;2709200
7235;NS;Wald;Illnau-Effretikon;1256600;2699600
7236;NS;Wald;ZELL (ZH);1257800;2703000
7237;NS;Wald;Illnau-Effretikon;1255400;2698600
7238;NS;Wald;WEISSLINGEN;1254400;2699000
7239;NS;Wald;WEISSLINGEN;1253000;2699400
7240;NS;Wald;WEISSLINGEN;1253400;2700000
7241;NS;Wald;WEISSLINGEN;1252400;2701200
7242;NS;Wald;RUSSIKON;1250800;2703000
7243;NS;Wald;RUSSIKON;1251200;2700800
7244;HS;Wald;RUSSIKON;1251400;2702400
7245;NS;Wald;BASSERSDORF;1255200;2688200
7246;NS;Wald;DIETLIKON;1254600;2687600
7247;NS;Wald;OPFIKON;1254400;2686600
7248;NS;Wald;WANGEN-BRUETTISELLEN;1253000;2691000
7249;NS;Grünland;BAUMA;1248000;2706800
7250;NS;Acker,Gemüsebau,Spez.kulturen;BAERETSWIL;1244400;2705800
7251;NS;Wald;RUSSIKON;1251000;2703800
7253;NS;Wald;BAERETSWIL;1246200;2707000
7254;NS;Wald;BAERETSWIL;1245600;2708200
7255;NS;Wald;BAERETSWIL;1243600;2710200
7256;NS;Wald;WILDBERG;1250800;2706000
7257;NS;Wald;TURBENTHAL;1253400;2708000
7258;NS;Wald;TURBENTHAL;1253000;2711000
7259;NS;Wald;BAUMA;1249200;2706800
7260;NS;Wald;BAUMA;1247600;2710000
7261;HS;Wald;FISCHENTHAL;1248000;2713800
7262;NS;Wald;FISCHENTHAL;1242400;2715800
7263;NS;Wald;FISCHENTHAL;1242200;2716200
7265;NS;Wald;WALD (ZH);1235600;2712000
7266;NS;Wald;ELGG;1262000;2706000
7267;NS;Wald;HAGENBUCH;1263000;2708400
7268;HS;Wald;Illnau-Effretikon;1256000;2699400
7269;NS;Wald;VOLKETSWIL;1251800;2693200
7270;HS;Wald;USTER;1247200;2696800
7271;HS;Wald;BUBIKON;1238600;2703600
7273;NS;Wald;TURBENTHAL;1253400;2707400
7274;NS;Wald;HINWIL;1241800;2706000
7275;NS;Wald;HINWIL;1241800;2707800
7276;NS;Wald;DUERNTEN;1236600;2707800
7277;NS;Wald;RUETI (ZH);1236000;2710600
7278;NS;Acker,Gemüsebau,Spez.kulturen;ELGG;1261600;2705400
7279;NS;Grünland;BAERETSWIL;1245600;2707800
7280;NS;Grünland;BAERETSWIL;1243000;2706800
7281;NS;Acker,Gemüsebau,Spez.kulturen;DUERNTEN;1238000;2705600
7282;NS;Grünland;WALD (ZH);1237400;2713400
7283;NS;Acker,Gemüsebau,Spez.kulturen;ELGG;1261400;2707000
7284;NS;Acker,Gemüsebau,Spez.kulturen;SCHLATT;1260200;2704400
7285;NS;Grünland;ZELL (ZH);1256600;2705600
7286;NS;Acker,Gemüsebau,Spez.kulturen;WEISSLINGEN;1255600;2701000
7287;NS;Acker,Gemüsebau,Spez.kulturen;RUSSIKON;1251200;2699400
7288;NS;Acker,Gemüsebau,Spez.kulturen;RUSSIKON;1251000;2700200
7289;NS;Acker,Gemüsebau,Spez.kulturen;RUSSIKON;1251000;2703400
7290;NS;Grünland;PFAEFFIKON;1250200;2704600
